course_code,course_name,section_name,session_date,student_code,student_name,attendance_status,minutes_late,source,week_number,day_of_week,session_start_time,course_load
STAT101,Statistics I,Section 3,2026-03-14,S4041,Synthetic Student 4041,late,12,qr,9,Monday,09:00,5
MATH101,Calculus I,Section 3,2026-03-07,S4037,Synthetic Student 4037,present,0,qr,9,Sunday,12:00,2
MATH101,Calculus I,Section 2,2026-03-23,S4123,Synthetic Student 4123,present,2,qr,13,Saturday,10:00,2
CS101,Intro to Programming,Section 2,2026-02-21,S4153,Synthetic Student 4153,absent,0,qr,3,Wednesday,14:00,5
STAT101,Statistics I,Section 2,2026-04-04,S4149,Synthetic Student 4149,present,0,qr,9,Sunday,12:00,3
PHY101,Physics I,Section 2,2026-02-07,S4083,Synthetic Student 4083,present,0,qr,10,Sunday,12:00,5
CS101,Intro to Programming,Section 3,2026-05-11,S4162,Synthetic Student 4162,absent,1,qr,14,Wednesday,14:00,3
STAT101,Statistics I,Section 1,2026-04-25,S4004,Synthetic Student 4004,present,0,qr,8,Saturday,10:00,4
PHY101,Physics I,Section 2,2026-04-06,S4168,Synthetic Student 4168,present,0,qr,9,Monday,09:00,2
PHY101,Physics I,Section 2,2026-02-09,S4130,Synthetic Student 4130,absent,1,qr,1,Monday,09:00,5
PHY101,Physics I,Section 1,2026-03-02,S4036,Synthetic Student 4036,present,0,qr,7,Sunday,14:00,5
MATH101,Calculus I,Section 3,2026-04-18,S4146,Synthetic Student 4146,present,0,qr,2,Wednesday,14:00,4
CS101,Intro to Programming,Section 1,2026-03-07,S4091,Synthetic Student 4091,late,17,qr,5,Sunday,12:00,2
STAT101,Statistics I,Section 1,2026-02-09,S4081,Synthetic Student 4081,present,0,qr,1,Monday,09:00,3
PHY101,Physics I,Section 1,2026-03-07,S4112,Synthetic Student 4112,absent,1,qr,7,Sunday,12:00,3
MATH101,Calculus I,Section 2,2026-05-11,S4079,Synthetic Student 4079,late,1,qr,4,Wednesday,14:00,5
MATH101,Calculus I,Section 3,2026-02-07,S4057,Synthetic Student 4057,present,1,qr,14,Sunday,12:00,4
MATH101,Calculus I,Section 1,2026-04-11,S4046,Synthetic Student 4046,absent,0,qr,10,Monday,09:00,5
PHY101,Physics I,Section 1,2026-04-13,S4127,Synthetic Student 4127,late,14,qr,14,Wednesday,14:00,3
PHY101,Physics I,Section 1,2026-03-09,S4105,Synthetic Student 4105,present,0,qr,1,Monday,09:00,3
CS101,Intro to Programming,Section 3,2026-03-14,S4017,Synthetic Student 4017,absent,0,qr,3,Monday,09:00,5
MATH101,Calculus I,Section 2,2026-03-30,S4150,Synthetic Student 4150,present,0,qr,14,Sunday,12:00,5
PHY101,Physics I,Section 2,2026-04-04,S4156,Synthetic Student 4156,present,0,qr,4,Sunday,12:00,2
PHY101,Physics I,Section 1,2026-05-11,S4103,Synthetic Student 4103,present,1,qr,8,Wednesday,14:00,5
STAT101,Statistics I,Section 1,2026-03-23,S4047,Synthetic Student 4047,present,2,qr,11,Saturday,10:00,4
